Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.30      0.24     0.24 18307748     0.00     0.00  RL::Random::UniformIdx(int)
 10.30      0.48     0.24 18267744     0.00     0.00  RL::RandomIdx::Get() const
  6.01      0.62     0.14      167     0.84     2.94  RL::SimpleMDP::GetControlValueFunction(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&) const
  6.01      0.76     0.14       26     5.38    30.68  RL::EpsilonSoftOnPolicyMonteCarlo<RL::SimpleMDP>::PolicyEvaluation(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, unsigned int) const
  5.15      0.88     0.12 32178964     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  5.15      1.00     0.12 31684191     0.00     0.00  std::vector<RL::Step, std::allocator<RL::Step> >::operator[](unsigned long) const
  5.15      1.12     0.12 31684191     0.00     0.00  RL::Episode::operator[](unsigned int) const
  4.51      1.23     0.11 38430333     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  3.86      1.32     0.09  9057772     0.00     0.00  RL::SimpleMDP::GetNextStep(RL::Step const&) const
  3.43      1.40     0.08 15651894     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long)
  3.43      1.48     0.08  7560946     0.00     0.00  std::vector<RL::Step, std::allocator<RL::Step> >::push_back(RL::Step const&)
  2.15      1.53     0.05 18314006     0.00     0.00  std::vector<RL::RandomIdx, std::allocator<RL::RandomIdx> >::operator[](unsigned long) const
  2.15      1.58     0.05  6383811     0.00     0.00  std::vector<RL::RandomIdx, std::allocator<RL::RandomIdx> >::size() const
  2.15      1.63     0.05 37437144     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long) const
  1.72      1.67     0.04   102200     0.00     0.01  RL::SimpleMDP::GetEpisode(RL::Episode&) const
  1.72      1.71     0.04        3    13.33   138.85  SimpleMDPTest_GetEpisode1_Test::TestBody()
  1.29      1.74     0.03 15425177     0.00     0.00  std::vector<std::vector<RL::RandomIdx, std::allocator<RL::RandomIdx> >, std::allocator<std::vector<RL::RandomIdx, std::allocator<RL::RandomIdx> > > >::operator[](unsigned long) const
  1.29      1.77     0.03 10181027     0.00     0.00  std::vector<RL::Step, std::allocator<RL::Step> >::size() const
  1.29      1.80     0.03  6317319     0.00     0.00  RL::SimpleMDP::GetControlCount(unsigned int) const
  1.29      1.83     0.03  5274248     0.00     0.00  std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >::operator[](unsigned long)
  1.29      1.86     0.03  1202686     0.00     0.00  RL::Step* std::__copy_move_a2<false, RL::Step*, RL::Step*>(RL::Step*, RL::Step*, RL::Step*)
  1.29      1.89     0.03  1202686     0.00     0.00  RL::Step* std::copy<RL::Step*, RL::Step*>(RL::Step*, RL::Step*, RL::Step*)
  1.29      1.92     0.03   601343     0.00     0.00  std::vector<RL::Step, std::allocator<RL::Step> >::_M_insert_aux(__gnu_cxx::__normal_iterator<RL::Step*, std::vector<RL::Step, std::allocator<RL::Step> > >, RL::Step const&)
  0.86      1.94     0.02  7560946     0.00     0.00  __gnu_cxx::new_allocator<RL::Step>::construct(RL::Step*, RL::Step const&)
  0.86      1.96     0.02  7507995     0.00     0.00  std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::operator[](unsigned long)
  0.86      1.98     0.02  1202686     0.00     0.00  RL::Step* std::__uninitialized_copy_a<RL::Step*, RL::Step*, RL::Step>(RL::Step*, RL::Step*, RL::Step*, std::allocator<RL::Step>&)
  0.86      2.00     0.02    75625     0.00     0.00  RL::RandomIdx::GetProbability(unsigned int) const
  0.86      2.02     0.02    23524     0.00     0.00  RL::RandomIdx::RandomIdx(std::vector<double, std::allocator<double> > const&, unsigned int)
  0.64      2.03     0.02   345954     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.43      2.04     0.01  7560946     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<RL::Step> >::construct<RL::Step>(std::allocator<RL::Step>&, RL::Step*, RL::Step const&)
  0.43      2.05     0.01  7559980     0.00     0.00  RL::Episode::AddStep(RL::Step const&)
  0.43      2.06     0.01  4591891     0.00     0.00  RL::SimpleMDP::GetDiscountRate() const
  0.43      2.07     0.01  2405372     0.00     0.00  std::_Miter_base<RL::Step*>::iterator_type std::__miter_base<RL::Step*>(RL::Step*)
  0.43      2.08     0.01  2399611     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.43      2.09     0.01  1202686     0.00     0.00  std::vector<RL::Step, std::allocator<RL::Step> >::max_size() const
  0.43      2.10     0.01  1202686     0.00     0.00  RL::Step* std::__uninitialized_copy<true>::__uninit_copy<RL::Step*, RL::Step*>(RL::Step*, RL::Step*, RL::Step*)
  0.43      2.11     0.01  1202686     0.00     0.00  RL::Step* std::__copy_move_a<false, RL::Step*, RL::Step*>(RL::Step*, RL::Step*, RL::Step*)
  0.43      2.12     0.01   805888     0.00     0.00  void std::_Destroy<RL::Step*, RL::Step>(RL::Step*, RL::Step*, std::allocator<RL::Step>&)
  0.43      2.13     0.01   805864     0.00     0.00  std::_Vector_base<RL::Step, std::allocator<RL::Step> >::_M_deallocate(RL::Step*, unsigned long)
  0.43      2.14     0.01   703547     0.00     0.00  std::vector<RL::Step, std::allocator<RL::Step> >::end()
  0.43      2.15     0.01   601343     0.00     0.00  std::vector<RL::Step, std::allocator<RL::Step> >::_M_check_len(unsigned long, char const*) const
  0.43      2.16     0.01   225269     0.00     0.00  double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*)
  0.43      2.17     0.01   222490     0.00     0.00  RL::SimpleMDP::GetStateCount() const
