StartTime	2015/10/21 05:08:22
FinishTime	2015/10/21 05:09:12
ElapsedTime	50.000000
/home/daisuke/git/ReinforcementLearning/log/EV3LineTracer_20151021020428_10Setting_20151021020429.log
0	1.000000
1	0.125000	0.125000	0.625000	0.125000
2	0.083333	0.083333	0.583333	0.083333	0.083333	0.083333
3	0.125000	0.125000	0.625000	0.125000
4	0.125000	0.125000	0.625000	0.125000
5	0.125000	0.125000	0.125000	0.625000
6	0.125000	0.125000	0.125000	0.625000
3888
0	1	2	0.000000
1	1	2	0.000000
2	1	1	0.000000
3	1	2	0.000000
4	1	2	0.000000
5	1	2	0.000000
6	1	2	0.000000
7	1	2	0.000000
8	1	2	0.000000
9	1	3	0.000000
10	1	3	0.000000
11	2	2	0.000000
12	2	2	0.000000
13	2	2	0.000000
14	2	0	0.000000
15	3	2	0.000000
16	3	3	0.000000
17	3	2	0.000000
18	3	1	0.000000
19	3	2	0.000000
20	3	2	0.000000
21	3	0	0.000000
22	3	2	0.000000
23	3	2	0.000000
24	3	2	0.000000
25	3	3	0.000000
26	2	3	0.000000
27	2	1	0.000000
28	2	2	0.000000
29	2	2	0.000000
30	3	2	0.000000
31	3	2	0.000000
32	3	2	0.000000
33	3	2	0.000000
34	3	2	0.000000
35	2	2	0.000000
36	2	2	0.000000
37	2	2	0.000000
38	2	4	0.000000
39	2	3	0.000000
40	2	2	0.000000
41	1	2	0.000000
42	1	2	0.000000
43	1	2	0.000000
44	1	2	0.000000
45	1	2	0.000000
46	1	2	0.000000
47	1	2	0.000000
48	1	0	0.000000
49	1	2	0.000000
50	1	0	0.000000
51	1	2	0.000000
52	1	2	0.000000
53	2	5	0.000000
54	2	4	0.000000
55	2	4	0.000000
56	3	0	0.000000
57	3	0	0.000000
58	3	2	0.000000
59	4	2	0.000000
60	3	0	0.000000
61	3	2	0.000000
62	3	2	0.000000
63	2	3	0.000000
64	2	2	0.000000
65	2	0	0.000000
66	2	0	0.000000
67	2	5	0.000000
68	2	2	0.000000
69	2	2	0.000000
70	2	2	0.000000
71	2	2	0.000000
72	2	2	0.000000
73	2	2	0.000000
74	2	2	0.000000
75	2	0	0.000000
76	2	5	0.000000
77	2	2	0.000000
78	2	2	0.000000
79	2	2	0.000000
80	2	2	0.000000
81	2	2	0.000000
82	2	2	0.000000
83	2	2	0.000000
84	2	2	0.000000
85	2	2	0.000000
86	2	2	0.000000
87	1	2	0.000000
88	1	2	0.000000
89	1	1	0.000000
90	1	0	0.000000
91	1	2	0.000000
92	1	0	0.000000
93	1	2	0.000000
94	1	2	0.000000
95	1	2	0.000000
96	1	2	0.000000
97	1	1	0.000000
98	1	2	0.000000
99	1	2	0.000000
100	1	0	0.000000
101	1	2	0.000000
102	1	2	0.000000
103	2	2	0.000000
104	2	5	0.000000
105	2	2	0.000000
106	2	2	0.000000
107	2	2	0.000000
108	2	2	0.000000
109	2	2	0.000000
110	3	2	0.000000
111	3	2	0.000000
112	3	2	0.000000
113	3	2	0.000000
114	3	2	0.000000
115	3	2	0.000000
116	3	2	0.000000
117	3	3	0.000000
118	3	2	0.000000
119	2	3	0.000000
120	2	2	0.000000
121	2	2	0.000000
122	2	2	0.000000
123	2	0	0.000000
124	2	3	0.000000
125	2	5	0.000000
126	2	2	0.000000
127	2	5	0.000000
128	2	3	0.000000
129	2	2	0.000000
130	2	0	0.000000
131	2	0	0.000000
132	2	2	0.000000
133	2	2	0.000000
134	2	1	0.000000
135	2	2	0.000000
136	1	1	0.000000
137	1	3	0.000000
138	1	2	0.000000
139	1	2	0.000000
140	1	2	0.000000
141	1	3	0.000000
142	1	2	0.000000
143	1	2	0.000000
144	2	2	0.000000
145	2	0	0.000000
146	2	2	0.000000
147	2	4	0.000000
148	2	4	0.000000
149	2	2	0.000000
150	2	5	0.000000
151	2	2	0.000000
152	2	0	0.000000
153	3	3	0.000000
154	3	2	0.000000
155	3	1	0.000000
156	3	3	0.000000
157	3	2	0.000000
158	2	2	0.000000
159	2	2	0.000000
160	2	2	0.000000
161	2	2	0.000000
162	2	1	0.000000
163	2	2	0.000000
164	2	2	0.000000
165	2	0	0.000000
166	2	2	0.000000
167	2	0	0.000000
168	2	2	0.000000
169	2	5	0.000000
170	1	2	0.000000
171	1	2	0.000000
172	1	2	0.000000
173	1	2	0.000000
174	1	2	0.000000
175	1	0	0.000000
176	1	2	0.000000
177	1	2	0.000000
178	1	3	0.000000
179	1	2	0.000000
180	1	2	0.000000
181	2	0	0.000000
182	2	2	0.000000
183	2	3	0.000000
184	2	2	0.000000
185	2	5	0.000000
186	3	3	0.000000
187	3	3	0.000000
188	3	2	0.000000
189	3	0	0.000000
190	3	2	0.000000
191	3	0	0.000000
192	3	0	0.000000
193	3	0	0.000000
194	3	3	0.000000
195	3	2	0.000000
196	3	3	0.000000
197	2	2	0.000000
198	2	2	0.000000
199	2	2	0.000000
200	2	2	0.000000
201	2	2	0.000000
202	2	2	0.000000
203	2	4	0.000000
204	2	3	0.000000
205	2	2	0.000000
206	2	4	0.000000
207	2	2	0.000000
208	2	2	0.000000
209	2	4	0.000000
210	2	5	0.000000
